Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,1.383840,1.385250,1.380800,1.383840,1.383840,0
2022-05-05,1.374240,1.387130,1.372900,1.374240,1.374240,0
2022-05-06,1.384000,1.390390,1.382800,1.384000,1.384000,0
2022-05-09,1.387530,1.393470,1.387500,1.387530,1.387530,0
2022-05-10,1.389750,1.392680,1.387380,1.389750,1.389750,0
2022-05-11,1.391190,1.391670,1.383630,1.391190,1.391190,0
2022-05-12,1.390230,1.397080,1.388300,1.390230,1.390230,0
2022-05-13,1.395800,1.397820,1.392600,1.395800,1.395800,0
2022-05-16,1.392650,1.396650,1.391700,1.392650,1.392650,0
2022-05-17,1.390770,1.391270,1.382800,1.390770,1.390770,0
2022-05-18,1.384470,1.388360,1.383500,1.384470,1.384470,0
2022-05-19,1.391320,1.391720,1.378200,1.391320,1.391320,0
2022-05-20,1.380920,1.382490,1.376500,1.380920,1.380920,0
2022-05-23,1.378950,1.379100,1.372000,1.380000,1.380000,0
2022-05-24,1.374270,1.376680,1.371030,1.374270,1.374270,0
2022-05-25,1.370970,1.377720,1.370960,1.370970,1.370970,0
2022-05-26,1.374300,1.377560,1.373000,1.374300,1.374300,0
2022-05-27,1.372450,1.373620,1.367700,1.372450,1.372450,0
2022-05-30,1.367900,1.368590,1.365500,1.367900,1.367900,0
2022-05-31,1.366600,1.372770,1.366400,1.366600,1.366600,0
2022-06-01,1.369850,1.375790,1.369340,1.369850,1.369850,0
2022-06-02,1.374600,1.377570,1.371100,1.374600,1.374600,0
2022-06-03,1.370000,1.376420,1.368740,1.370000,1.370000,0
2022-06-06,1.375040,1.376690,1.372170,1.375040,1.375040,0
2022-06-07,1.376950,1.379830,1.373400,1.376950,1.376950,0
2022-06-08,1.374000,1.376690,1.373800,1.374000,1.374000,0
2022-06-09,1.376160,1.380690,1.374200,1.376160,1.376160,0
2022-06-10,1.382520,1.387690,1.379400,1.382520,1.382520,0
2022-06-13,1.391190,1.392630,1.388000,1.391190,1.391190,0
2022-06-14,1.393840,1.394130,1.389000,1.393840,1.393840,0
2022-06-15,1.392100,1.393450,1.389400,1.392100,1.392100,0
2022-06-16,1.385700,1.391940,1.384250,1.385700,1.385700,0
2022-06-17,1.382900,1.391120,1.382900,1.382900,1.382900,0
2022-06-20,1.388410,1.389310,1.385000,1.388410,1.388410,0
2022-06-21,1.387600,1.388580,1.383800,1.387600,1.387600,0
2022-06-22,1.385510,1.390300,1.385600,1.385510,1.385510,0
2022-06-23,1.387120,1.391500,1.386500,1.387120,1.387120,0
2022-06-24,1.389160,1.391050,1.385100,1.389160,1.389160,0
2022-06-27,1.385520,1.386420,1.383300,1.385520,1.385520,0
2022-06-28,1.385360,1.387870,1.384040,1.385360,1.385360,0
2022-06-29,1.387470,1.392820,1.386800,1.387470,1.387470,0
2022-06-30,1.392640,1.394370,1.390100,1.392640,1.392640,0
2022-07-01,1.390140,1.399670,1.389700,1.390140,1.390140,0
2022-07-04,1.395200,1.397640,1.394100,1.395200,1.395200,0
2022-07-05,1.395620,1.407140,1.394400,1.395620,1.395620,0
2022-07-06,1.404800,1.406370,1.400750,1.404800,1.404800,0
2022-07-07,1.404400,1.405420,1.399100,1.404400,1.404400,0
2022-07-08,1.400230,1.404780,1.397500,1.400230,1.400230,0
2022-07-11,1.398840,1.405840,1.398900,1.398840,1.398840,0
2022-07-12,1.404970,1.407900,1.404300,1.404970,1.404970,0
2022-07-13,1.407580,1.409340,1.402950,1.407580,1.407580,0
2022-07-14,1.407010,1.409460,1.393740,1.407010,1.407010,0
2022-07-15,1.402600,1.405510,1.398500,1.402600,1.402600,0
2022-07-18,1.397790,1.399280,1.394100,1.397790,1.397790,0
2022-07-19,1.396900,1.398750,1.390200,1.396900,1.396900,0
2022-07-20,1.391380,1.394180,1.389800,1.391380,1.391380,0
2022-07-21,1.392980,1.395720,1.390160,1.392980,1.392980,0
2022-07-22,1.389400,1.391790,1.385380,1.389400,1.389400,0
2022-07-25,1.389000,1.390110,1.383700,1.389000,1.389000,0
2022-07-26,1.386030,1.390160,1.384100,1.386030,1.386030,0
2022-07-27,1.389000,1.389560,1.386200,1.389000,1.389000,0
2022-07-28,1.381700,1.384120,1.380400,1.381700,1.381700,0
2022-07-29,1.379100,1.385870,1.376550,1.379100,1.379100,0
2022-08-01,1.381500,1.382320,1.375200,1.381500,1.381500,0
2022-08-02,1.376200,1.381330,1.375520,1.376200,1.376200,0
2022-08-03,1.383700,1.384550,1.379490,1.383700,1.383700,0
2022-08-04,1.380790,1.380850,1.376400,1.380790,1.380790,0
2022-08-05,1.375350,1.383060,1.374800,1.375350,1.375350,0
2022-08-08,1.382120,1.383070,1.376700,1.382120,1.382120,0
2022-08-09,1.378250,1.379380,1.376400,1.378250,1.378250,0
2022-08-10,1.378300,1.379770,1.367400,1.378300,1.378300,0
2022-08-11,1.368800,1.372620,1.366540,1.368800,1.368800,0
2022-08-12,1.369600,1.372240,1.368600,1.369600,1.369600,0
2022-08-15,1.370600,1.377320,1.369900,1.370600,1.370600,0
2022-08-16,1.378120,1.380510,1.376200,1.378120,1.378120,0
2022-08-17,1.378600,1.384220,1.377300,1.378600,1.378600,0
2022-08-18,1.381400,1.385520,1.379960,1.381400,1.381400,0
2022-08-19,1.385500,1.392180,1.385000,1.385500,1.385500,0
2022-08-22,1.392100,1.398970,1.392100,1.392100,1.392100,0
2022-08-23,1.397000,1.400100,1.389060,1.397000,1.397000,0
2022-08-24,1.392650,1.396670,1.392220,1.392650,1.392650,0
2022-08-25,1.393600,1.394400,1.388000,1.393600,1.393600,0
2022-08-26,1.389200,1.393700,1.386700,1.389200,1.389200,0
2022-08-29,1.397260,1.400450,1.393700,1.397260,1.397260,0
2022-08-30,1.395240,1.399000,1.394000,1.395240,1.395240,0
2022-08-31,1.397600,1.399060,1.393700,1.397600,1.397600,0
2022-09-01,1.398630,1.403080,1.397890,1.398630,1.398630,0
2022-09-02,1.401540,1.402930,1.398480,1.401540,1.401540,0
2022-09-05,1.403300,1.406120,1.402290,1.403300,1.403300,0
2022-09-06,1.402130,1.407970,1.400400,1.402130,1.402130,0
2022-09-07,1.406940,1.410650,1.406200,1.406940,1.406940,0
2022-09-08,1.405090,1.408200,1.403200,1.405090,1.405090,0
2022-09-09,1.403850,1.403970,1.396060,1.403850,1.403850,0
2022-09-12,1.398000,1.399780,1.394520,1.398000,1.398000,0
2022-09-13,1.395300,1.405970,1.393500,1.395300,1.395300,0
2022-09-14,1.405600,1.406830,1.402600,1.405600,1.405600,0
2022-09-15,1.405400,1.409400,1.404500,1.405400,1.405400,0
2022-09-16,1.409200,1.411270,1.405800,1.409200,1.409200,0
2022-09-19,1.405600,1.410790,1.405200,1.405600,1.405600,0
2022-09-20,1.407420,1.411000,1.406000,1.407420,1.407420,0
2022-09-21,1.410170,1.416150,1.409700,1.410170,1.410170,0
2022-09-22,1.418400,1.422000,1.414500,1.418400,1.418400,0
2022-09-23,1.417940,1.428880,1.417000,1.417940,1.417940,0
2022-09-26,1.430080,1.436890,1.429500,1.430080,1.430080,0
2022-09-27,1.436260,1.438750,1.433700,1.436260,1.436260,0
2022-09-28,1.438680,1.448980,1.436890,1.438680,1.438680,0
2022-09-29,1.436440,1.444040,1.433900,1.436440,1.436440,0
2022-09-30,1.431250,1.436440,1.429710,1.431250,1.431250,0
2022-10-03,1.435500,1.437430,1.429000,1.435500,1.435500,0
2022-10-04,1.430600,1.432200,1.424000,1.430600,1.430600,0
2022-10-05,1.422830,1.429840,1.419730,1.422830,1.422830,0
2022-10-06,1.422400,1.429750,1.420010,1.422400,1.422400,0
2022-10-07,1.429000,1.433060,1.427500,1.429000,1.429000,0
2022-10-10,1.434300,1.438450,1.432700,1.434300,1.434300,0
2022-10-11,1.437110,1.440900,1.433710,1.437110,1.437110,0
2022-10-12,1.438580,1.441240,1.435050,1.438580,1.438580,0
2022-10-13,1.434710,1.439130,1.431380,1.434710,1.434710,0
2022-10-14,1.431040,1.428450,1.420500,1.431040,1.431040,0
2022-10-17,1.425390,1.427950,1.419500,1.425390,1.425390,0
2022-10-18,1.420900,1.422870,1.416270,1.420900,1.420900,0
2022-10-19,1.419870,1.425120,1.418800,1.419870,1.419870,0
2022-10-20,1.425790,1.427600,1.418460,1.425790,1.425790,0
2022-10-21,1.424850,1.431210,1.416880,1.424850,1.424850,0
2022-10-24,1.416700,1.424480,1.416200,1.416700,1.416700,0
2022-10-25,1.421080,1.425510,1.415400,1.421080,1.421080,0
2022-10-26,1.416760,1.418720,1.403860,1.416760,1.416760,0
2022-10-27,1.403410,1.411880,1.401800,1.403410,1.403410,0
2022-10-28,1.409650,1.413840,1.405340,1.409650,1.409650,0
2022-10-31,1.411830,1.417010,1.410400,1.411830,1.411830,0
2022-11-01,1.415080,1.416270,1.409060,1.415080,1.415080,0
2022-11-02,1.414600,1.414930,1.410500,1.414600,1.414600,0
2022-11-03,1.417900,1.424150,1.415300,1.417900,1.417900,0
2022-11-04,1.421820,1.421930,1.403430,1.421820,1.421820,0
2022-11-07,1.408220,1.409150,1.401610,1.408220,1.408220,0
2022-11-08,1.401360,1.404860,1.396800,1.401360,1.401360,0
2022-11-09,1.397950,1.402160,1.395900,1.397950,1.397950,0
2022-11-10,1.401400,1.404330,1.384800,1.401400,1.401400,0
2022-11-11,1.383460,1.386100,1.373350,1.383460,1.383460,0
2022-11-14,1.374450,1.376690,1.370100,1.374450,1.374450,0
2022-11-15,1.372850,1.373330,1.364240,1.372850,1.372850,0
2022-11-16,1.370200,1.375520,1.366480,1.370200,1.370200,0
2022-11-17,1.369970,1.379990,1.368900,1.369970,1.369970,0
2022-11-18,1.375070,1.375300,1.370700,1.375070,1.375070,0
2022-11-21,1.375010,1.383260,1.374700,1.375010,1.375010,0
2022-11-22,1.381300,1.381830,1.378000,1.381300,1.381300,0
2022-11-23,1.377940,1.385520,1.376500,1.377940,1.377940,0
2022-11-24,1.376320,1.376890,1.371640,1.376320,1.376320,0
2022-11-25,1.375460,1.377850,1.370500,1.375460,1.375460,0
2022-11-28,1.378720,1.379570,1.371600,1.378720,1.378720,0
2022-11-29,1.379050,1.379860,1.371300,1.379050,1.379050,0
2022-11-30,1.375340,1.376230,1.365110,1.375340,1.375340,0
2022-12-01,1.359300,1.359620,1.351800,1.359300,1.359300,0
2022-12-02,1.353200,1.359850,1.348800,1.353200,1.353200,0
2022-12-05,1.350330,1.356910,1.343400,1.350330,1.350330,0
2022-12-06,1.356100,1.358930,1.353500,1.356100,1.356100,0
2022-12-07,1.358710,1.360350,1.354080,1.358710,1.358710,0
2022-12-08,1.355170,1.358160,1.352200,1.355170,1.355170,0
2022-12-09,1.352700,1.355880,1.348600,1.352700,1.352700,0
2022-12-12,1.353720,1.356040,1.351200,1.353720,1.353720,0
2022-12-13,1.354430,1.356600,1.343200,1.354430,1.354430,0
2022-12-14,1.346790,1.349280,1.345400,1.346790,1.346790,0
2022-12-15,1.347630,1.359890,1.346500,1.347630,1.347630,0
2022-12-16,1.360420,1.360320,1.354730,1.360420,1.360420,0
