Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,34.317001,34.360001,34.255001,34.317001,34.317001,0
2022-05-05,34.049999,34.389999,33.955002,34.049999,34.049999,0
2022-05-06,34.299999,34.439999,34.276001,34.299999,34.299999,0
2022-05-09,34.361000,34.632999,34.361000,34.361000,34.361000,0
2022-05-10,34.590000,34.624001,34.465000,34.590000,34.590000,0
2022-05-11,34.647999,34.700001,34.505001,34.647999,34.647999,0
2022-05-12,34.626999,34.750000,34.612999,34.626999,34.626999,0
2022-05-13,34.730999,34.799999,34.625000,34.730999,34.730999,0
2022-05-16,34.648998,34.840000,34.666000,34.648998,34.648998,0
2022-05-17,34.698002,34.709999,34.450001,34.698002,34.698002,0
2022-05-18,34.478001,34.671001,34.465000,34.478001,34.478001,0
2022-05-19,34.573002,34.669998,34.380001,34.573002,34.573002,0
2022-05-20,34.376999,34.500000,34.237000,34.376999,34.376999,0
2022-05-23,34.320999,34.369999,34.075001,34.320999,34.320999,0
2022-05-24,34.134998,34.257000,34.044998,34.134998,34.134998,0
2022-05-25,34.094002,34.340000,34.077999,34.094002,34.094002,0
2022-05-26,34.240002,34.340000,34.105000,34.240002,34.240002,0
2022-05-27,34.216999,34.223000,34.055000,34.216999,34.216999,0
2022-05-30,34.077000,34.130001,34.005001,34.077000,34.077000,0
2022-05-31,34.088001,34.349998,34.070000,34.088001,34.088001,0
2022-06-01,34.231998,34.380001,34.224998,34.231998,34.231998,0
2022-06-02,34.362999,34.430000,34.205002,34.362999,34.362999,0
2022-06-03,34.237000,34.380001,34.169998,34.237000,34.237000,0
2022-06-06,34.340000,34.459999,34.264999,34.340000,34.340000,0
2022-06-07,34.430000,34.500000,34.355000,34.430000,34.430000,0
2022-06-08,34.405998,34.540001,34.403999,34.405998,34.405998,0
2022-06-09,34.488998,34.560001,34.404999,34.488998,34.488998,0
2022-06-10,34.554001,34.830002,34.514999,34.554001,34.554001,0
2022-06-13,34.800999,34.939999,34.715000,34.800999,34.800999,0
2022-06-14,34.842999,35.040001,34.880001,34.842999,34.842999,0
2022-06-15,35.029999,35.130001,34.918999,35.029999,35.029999,0
2022-06-16,34.835999,35.169998,34.785999,34.835999,34.835999,0
2022-06-17,35.006001,35.279999,34.978001,35.006001,35.006001,0
2022-06-20,35.221001,35.349998,35.216999,35.221001,35.221001,0
2022-06-21,35.330002,35.435001,35.230000,35.330002,35.330002,0
2022-06-22,35.285000,35.529999,35.264999,35.285000,35.285000,0
2022-06-23,35.349998,35.509998,35.294998,35.349998,35.349998,0
2022-06-24,35.484001,35.570000,35.404999,35.484001,35.484001,0
2022-06-27,35.450001,35.479000,35.284000,35.450001,35.450001,0
2022-06-28,35.359001,35.389000,35.025002,35.359001,35.359001,0
2022-06-29,35.160000,35.250000,34.948002,35.160000,35.160000,0
2022-06-30,35.077999,35.394001,35.028999,35.077999,35.077999,0
2022-07-01,35.324001,35.689999,35.285000,35.324001,35.324001,0
2022-07-04,35.580002,35.720001,35.570000,35.580002,35.580002,0
2022-07-05,35.702999,35.990002,35.625999,35.702999,35.702999,0
