Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,29.422100,29.549999,29.416000,29.422100,29.422100,0
2022-05-05,29.240000,29.695000,29.240000,29.240000,29.240000,0
2022-05-06,29.606701,29.739000,27.608999,29.606701,29.606701,0
2022-05-09,29.650000,29.827999,29.650000,29.650000,29.650000,0
2022-05-10,29.750999,29.839001,28.205000,29.750999,29.750999,0
2022-05-11,29.641701,29.726999,29.617701,29.641701,29.641701,0
2022-05-12,29.688999,29.886000,29.679701,29.688999,29.688999,0
2022-05-13,29.821501,29.858000,29.752701,29.821501,29.821501,0
2022-05-16,29.782000,29.839001,29.677999,29.782000,29.782000,0
2022-05-17,29.711901,29.777000,27.812000,29.711901,29.711901,0
2022-05-18,29.605801,29.773001,29.500000,29.605801,29.605801,0
2022-05-19,29.740200,29.804001,27.979000,29.740200,29.740200,0
2022-05-20,29.600500,29.719000,29.571800,29.600500,29.600500,0
2022-05-23,29.712999,29.712999,28.844999,29.712999,29.712999,0
2022-05-24,29.490000,29.635000,29.480000,29.490000,29.490000,0
2022-05-25,29.531700,29.610001,29.486500,29.531700,29.531700,0
2022-05-26,29.410000,29.532000,29.386801,29.410000,29.410000,0
2022-05-27,29.313000,29.456301,29.243799,29.313000,29.313000,0
2022-05-30,29.296000,29.304399,28.351999,29.296000,29.296000,0
2022-05-31,28.830999,29.111200,28.068001,28.830999,28.830999,0
2022-06-01,28.991501,29.247000,28.895000,28.991501,28.991501,0
2022-06-02,29.128300,29.407000,27.587999,29.128300,29.128300,0
2022-06-03,29.101000,29.358999,29.087999,29.101000,29.101000,0
2022-06-06,29.361000,29.451000,29.291000,29.361000,29.361000,0
2022-06-07,29.381300,29.546000,29.329901,29.381300,29.381300,0
2022-06-08,29.405001,29.535999,29.370001,29.405001,29.405001,0
2022-06-09,29.438801,29.615000,29.436001,29.438801,29.438801,0
2022-06-10,29.585699,29.663000,29.528000,29.585699,29.585699,0
2022-06-13,29.642000,29.791000,29.644501,29.642000,29.642000,0
2022-06-14,29.688700,29.816000,29.620300,29.688700,29.688700,0
2022-06-15,29.577700,29.768999,28.190001,29.577700,29.577700,0
2022-06-16,29.405001,29.822001,28.496000,29.405001,29.405001,0
2022-06-17,29.695999,29.811001,29.570000,29.695999,29.695999,0
2022-06-20,29.702000,29.791000,29.570000,29.702000,29.702000,0
2022-06-21,29.702999,29.754000,27.752001,29.702999,29.702999,0
2022-06-22,29.724001,29.848000,29.606001,29.724001,29.724001,0
2022-06-23,29.671700,29.823999,29.671700,29.671700,29.671700,0
2022-06-24,29.613100,29.775000,29.612000,29.613100,29.613100,0
2022-06-27,29.694000,29.694500,29.553900,29.694000,29.694000,0
2022-06-28,29.430000,29.743999,29.430000,29.430000,29.430000,0
2022-06-29,29.671000,29.754000,29.584999,29.671000,29.671000,0
2022-06-30,29.665001,29.804199,29.665001,29.665001,29.665001,0
2022-07-01,29.655701,29.900000,28.077000,29.655701,29.655701,0
2022-07-04,29.796000,29.820000,29.674000,29.796000,29.796000,0
2022-07-05,29.690001,29.902000,29.655701,29.690001,29.690001,0
2022-07-06,29.780701,29.849001,29.759001,29.780701,29.780701,0
2022-07-07,29.788000,29.830000,29.735201,29.788000,29.788000,0
2022-07-08,29.752001,29.815001,29.730301,29.752001,29.752001,0
2022-07-11,29.752001,29.877001,29.750000,29.752001,29.752001,0
2022-07-12,29.863199,29.944000,29.825001,29.863199,29.863199,0
2022-07-13,29.865000,29.903000,29.268999,29.865000,29.865000,0
2022-07-14,29.766001,30.000000,28.237000,29.766001,29.766001,0
2022-07-15,29.918699,29.985001,29.899300,29.918699,29.918699,0
2022-07-18,29.910999,29.930000,29.859800,29.910999,29.910999,0
2022-07-19,29.820000,29.944000,29.830700,29.820000,29.820000,0
2022-07-20,29.785999,29.934999,29.776699,29.785999,29.785999,0
2022-07-21,29.880699,29.980000,29.875700,29.880699,29.880699,0
2022-07-22,29.880301,29.931999,29.840000,29.880301,29.880301,0
2022-07-25,29.801001,29.923000,29.798000,29.801001,29.801001,0
2022-07-26,29.827999,29.959999,29.818701,29.827999,29.827999,0
2022-07-27,29.920300,29.990000,29.910700,29.920300,29.920300,0
2022-07-28,29.859301,29.992001,29.844999,29.859301,29.859301,0
2022-07-29,29.915001,30.066999,28.278999,29.915001,29.915001,0
2022-08-01,30.002001,30.157000,28.414000,30.002001,30.002001,0
2022-08-02,30.167999,30.158001,27.791000,30.167999,30.167999,0
2022-08-03,29.966299,30.025999,29.909000,29.966299,29.966299,0
2022-08-04,29.941999,30.037001,29.932699,29.941999,29.941999,0
2022-08-05,29.951700,30.014000,28.101999,29.951700,29.951700,0
2022-08-08,29.945000,30.063000,29.945000,29.945000,29.945000,0
2022-08-09,30.000700,30.044001,29.953501,30.000700,30.000700,0
2022-08-10,30.028000,30.059999,29.888300,30.028000,30.028000,0
2022-08-11,29.910400,30.006001,29.884701,29.910400,29.910400,0
2022-08-12,29.949301,30.007000,29.934000,29.949301,29.949301,0
2022-08-15,29.943001,30.028999,29.943001,29.943001,29.943001,0
2022-08-16,29.982700,30.021000,29.965000,29.982700,29.982700,0
2022-08-17,29.943800,30.011999,29.943800,29.943800,29.943800,0
2022-08-18,29.935699,30.031000,29.933701,29.935699,29.935699,0
2022-08-19,29.973700,30.121000,29.959000,29.973700,29.973700,0
2022-08-22,30.101999,30.176001,30.060801,30.101999,30.101999,0
2022-08-23,30.131701,30.216999,30.104200,30.131701,30.131701,0
2022-08-24,30.170000,30.285000,30.160299,30.170000,30.170000,0
2022-08-25,30.205000,30.277000,30.173800,30.205000,30.205000,0
2022-08-26,30.188000,30.254000,29.398001,30.188000,30.188000,0
2022-08-29,30.281000,30.430000,30.275299,30.281000,30.281000,0
2022-08-30,30.368000,30.495001,30.334999,30.368000,30.368000,0
2022-08-31,30.436701,30.496000,30.313700,30.436701,30.436701,0
2022-09-01,30.332701,30.622000,30.328699,30.332701,30.332701,0
2022-09-02,30.548201,30.638000,30.546801,30.548201,30.548201,0
2022-09-05,30.613001,30.775000,30.611000,30.613001,30.613001,0
2022-09-06,30.686001,30.858000,30.640200,30.686001,30.686001,0
2022-09-07,30.798700,30.955000,29.500000,30.798700,30.798700,0
2022-09-08,30.847799,30.968000,29.167999,30.847799,30.847799,0
2022-09-09,30.858700,30.888500,30.757000,30.858700,30.858700,0
2022-09-12,30.850000,30.923000,30.780500,30.850000,30.850000,0
2022-09-13,30.885000,31.118999,30.848000,30.882999,30.882999,0
2022-09-14,31.118700,31.172001,31.050501,31.118700,31.118700,0
2022-09-15,31.069000,31.287701,31.064699,31.069000,31.069000,0
2022-09-16,31.222000,31.406000,31.145000,31.222000,31.222000,0
2022-09-19,31.261000,31.438000,29.635000,31.261000,31.261000,0
2022-09-20,31.322001,31.409000,29.575001,31.322001,31.322001,0
2022-09-21,31.339001,31.479000,31.337700,31.339001,31.339001,0
2022-09-22,31.450001,31.671000,29.731001,31.450001,31.450001,0
2022-09-23,31.538300,31.853001,29.813000,31.538300,31.538300,0
2022-09-26,31.791000,31.929001,29.806999,31.791000,31.791000,0
2022-09-27,31.823000,31.868999,31.586000,31.823000,31.823000,0
2022-09-28,31.674999,31.931999,30.016001,31.674999,31.674999,0
2022-09-29,31.671000,31.855000,29.979000,31.671000,31.671000,0
2022-09-30,31.630501,31.844000,31.620001,31.630501,31.630501,0
2022-10-03,31.802999,31.937000,31.764799,31.802999,31.802999,0
2022-10-04,31.783701,31.854000,31.625700,31.783701,31.783701,0
2022-10-05,31.628000,31.686001,31.447500,31.628000,31.628000,0
2022-10-06,31.523500,31.580000,31.435900,31.523500,31.523500,0
2022-10-07,31.538000,31.707001,31.509001,31.539000,31.539000,0
2022-10-10,31.711000,31.823000,31.673700,31.711000,31.711000,0
2022-10-11,31.792801,31.938999,31.746300,31.792801,31.792801,0
2022-10-12,31.825300,31.907000,31.800800,31.825300,31.825300,0
2022-10-13,31.774200,32.029999,30.155001,31.774200,31.774200,0
2022-10-14,31.848600,32.005001,30.145000,31.848600,31.848600,0
2022-10-17,31.962000,32.081001,31.896000,31.962000,31.962000,0
2022-10-18,31.988001,32.037998,31.908701,31.988001,31.988001,0
2022-10-19,32.016998,32.144001,30.250999,32.016998,32.016998,0
2022-10-20,32.152000,32.169998,31.970200,32.152000,32.152000,0
2022-10-21,32.094002,32.290001,30.413000,32.094002,32.094002,0
2022-10-24,32.180000,32.380001,30.586000,32.180000,32.180000,0
2022-10-25,32.311298,32.409000,32.236801,32.311298,32.311298,0
2022-10-26,32.227001,32.327000,32.047699,32.227001,32.227001,0
2022-10-27,31.962900,32.168999,29.577999,31.962900,31.962900,0
2022-10-28,32.042999,32.177101,32.043900,32.042999,32.042999,0
2022-10-31,32.113998,32.334000,30.429001,32.113998,32.113998,0
2022-11-01,32.247700,32.314999,30.436001,32.247700,32.247700,0
2022-11-02,32.124001,35.103001,32.118500,32.124001,32.124001,0
2022-11-03,32.247501,32.311001,32.162998,32.247501,32.247501,0
2022-11-04,32.150002,32.285000,31.945999,32.150002,32.150002,0
2022-11-07,31.999001,32.146999,31.918800,31.999001,31.999001,0
2022-11-08,31.850000,32.037998,31.850000,31.850000,31.850000,0
2022-11-09,31.789801,31.922001,31.618999,31.789801,31.789801,0
2022-11-10,31.912001,31.940500,29.982000,31.912001,31.912001,0
2022-11-11,31.402000,31.513000,29.485001,31.402000,31.402000,0
2022-11-14,31.096600,31.239000,29.702000,31.096600,31.096600,0
2022-11-15,30.889000,31.087799,29.679001,30.889000,30.889000,0
2022-11-16,31.079000,31.250000,31.026501,31.079000,31.079000,0
2022-11-17,31.035000,31.308001,30.995001,31.035000,31.035000,0
2022-11-18,31.025000,31.181999,31.006001,31.025000,31.025000,0
2022-11-21,31.111300,31.274000,31.112000,31.111300,31.111300,0
2022-11-22,31.131001,31.264000,31.121799,31.131001,31.131001,0
2022-11-23,31.107201,31.233999,31.016500,31.107201,31.107201,0
2022-11-24,31.079700,31.145000,30.885700,31.079700,31.079700,0
2022-11-25,30.913000,31.004000,30.665001,30.913000,30.913000,0
2022-11-28,30.928499,31.023001,30.919201,30.928499,30.928499,0
2022-11-29,31.006100,31.023001,30.700001,31.006100,31.006100,0
2022-11-30,30.945999,30.951000,30.771999,30.945999,30.945999,0
2022-12-01,30.778000,30.855000,30.480000,30.778000,30.778000,0
2022-12-02,30.587799,30.664000,28.936001,30.587799,30.587799,0
2022-12-05,30.538000,30.566000,29.746000,30.538000,30.538000,0
2022-12-06,30.563000,30.676001,30.250000,30.563000,30.563000,0
2022-12-07,30.633499,30.693001,30.455000,30.633499,30.633499,0
