Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,22962.000000,22973.000000,22955.000000,22962.000000,22962.000000,0
2022-05-05,22966.000000,22965.000000,22945.000000,22966.000000,22966.000000,0
2022-05-06,22955.000000,22963.000000,22950.000000,22955.000000,22955.000000,0
2022-05-09,22955.000000,22958.000000,22942.000000,22955.000000,22955.000000,0
2022-05-10,22950.000000,22960.000000,22935.000000,22950.000000,22950.000000,0
2022-05-11,22941.000000,23100.000000,22941.000000,22941.000000,22941.000000,0
2022-05-12,23050.000000,23100.000000,23030.000000,23050.000000,23050.000000,0
2022-05-13,23096.000000,23095.000000,23080.000000,23096.000000,23096.000000,0
2022-05-16,23086.000000,23095.000000,23075.000000,23086.000000,23086.000000,0
2022-05-17,23095.000000,23126.000000,23080.000000,23095.000000,23095.000000,0
2022-05-18,23120.000000,23140.000000,23117.000000,23120.000000,23120.000000,0
2022-05-19,23139.000000,23172.000000,23130.000000,23139.000000,23139.000000,0
2022-05-20,23140.000000,23175.000000,23127.000000,23140.000000,23140.000000,0
2022-05-23,23160.000000,23170.000000,23127.000000,23160.000000,23160.000000,0
2022-05-24,23170.000000,23215.000000,23170.000000,23170.000000,23170.000000,0
2022-05-25,23210.000000,23210.000000,23165.000000,23210.000000,23210.000000,0
2022-05-26,23190.000000,23210.000000,23190.000000,23190.000000,23190.000000,0
2022-05-27,23205.000000,23205.000000,23183.000000,23205.000000,23205.000000,0
2022-05-30,23195.000000,23200.000000,23175.000000,23195.000000,23195.000000,0
2022-05-31,23176.000000,23188.000000,23176.000000,23176.000000,23176.000000,0
2022-06-01,23185.000000,23202.000000,23185.000000,23185.000000,23185.000000,0
2022-06-02,23196.000000,23207.000000,23185.000000,23196.000000,23196.000000,0
2022-06-03,23193.000000,23198.000000,23180.000000,23193.000000,23193.000000,0
2022-06-06,23187.000000,23193.000000,23180.000000,23187.000000,23187.000000,0
2022-06-07,23180.000000,23192.000000,23183.000000,23180.000000,23180.000000,0
2022-06-08,23185.000000,23189.000000,23185.000000,23185.000000,23185.000000,0
2022-06-09,23187.000000,23187.000000,23155.000000,23187.000000,23187.000000,0
2022-06-10,23155.000000,23187.000000,23155.000000,23155.000000,23155.000000,0
2022-06-13,23177.000000,23205.000000,23165.000000,23177.000000,23177.000000,0
2022-06-14,23195.000000,23245.000000,23195.000000,23195.000000,23195.000000,0
2022-06-15,23210.000000,23230.000000,23213.000000,23210.000000,23210.000000,0
2022-06-16,23230.000000,23235.000000,23215.000000,23230.000000,23230.000000,0
2022-06-17,23232.000000,23240.000000,23220.000000,23232.000000,23232.000000,0
2022-06-20,23220.000000,23245.000000,23190.000000,23220.000000,23220.000000,0
2022-06-21,23230.000000,23233.000000,23220.000000,23230.000000,23230.000000,0
2022-06-22,23226.000000,23242.000000,23225.000000,23226.000000,23226.000000,0
2022-06-23,23235.000000,23252.000000,23230.000000,23235.000000,23235.000000,0
2022-06-24,23244.000000,23255.000000,23235.000000,23244.000000,23244.000000,0
2022-06-27,23247.000000,23253.000000,23240.000000,23247.000000,23247.000000,0
2022-06-28,23245.000000,23257.000000,23199.000000,23245.000000,23245.000000,0
2022-06-29,23255.000000,23265.000000,23233.000000,23255.000000,23255.000000,0
2022-06-30,23265.000000,23285.000000,23235.000000,23265.000000,23265.000000,0
2022-07-01,23255.000000,23310.000000,23255.000000,23255.000000,23255.000000,0
2022-07-04,23300.000000,23365.000000,23300.000000,23300.000000,23300.000000,0
2022-07-05,23335.000000,23370.000000,23335.000000,23335.000000,23335.000000,0
2022-07-06,23360.000000,23375.000000,23358.000000,23360.000000,23360.000000,0
2022-07-07,23373.000000,23383.000000,23345.000000,23373.000000,23373.000000,0
2022-07-08,23350.000000,23370.000000,23330.000000,23350.000000,23350.000000,0
2022-07-11,23355.000000,23355.000000,23320.000000,23355.000000,23355.000000,0
2022-07-12,23347.000000,23389.000000,23347.000000,23347.000000,23347.000000,0
2022-07-13,23389.000000,23393.000000,23377.000000,23389.000000,23389.000000,0
2022-07-14,23388.000000,23415.000000,23335.000000,23388.000000,23388.000000,0
2022-07-15,23415.000000,23450.000000,23415.000000,23415.000000,23415.000000,0
2022-07-18,23450.000000,23450.000000,23399.000000,23450.000000,23450.000000,0
2022-07-19,23440.000000,23450.000000,23412.000000,23440.000000,23440.000000,0
2022-07-20,23412.000000,23430.000000,23407.000000,23412.000000,23412.000000,0
2022-07-21,23410.000000,23410.000000,23380.000000,23410.000000,23410.000000,0
2022-07-22,23410.000000,23410.000000,23390.000000,23410.000000,23410.000000,0
2022-07-25,23400.000000,23400.000000,23380.000000,23400.000000,23400.000000,0
2022-07-26,23385.000000,23385.000000,23345.000000,23385.000000,23385.000000,0
2022-07-27,23370.000000,23377.000000,23350.000000,23370.000000,23370.000000,0
2022-07-28,23375.000000,23375.000000,23352.000000,23375.000000,23375.000000,0
2022-07-29,23358.000000,23368.000000,23335.000000,23358.000000,23358.000000,0
2022-08-01,23335.000000,23358.000000,23335.000000,23335.000000,23335.000000,0
2022-08-02,23355.000000,23360.000000,23348.000000,23355.000000,23355.000000,0
2022-08-03,23353.000000,23395.000000,23350.000000,23353.000000,23353.000000,0
2022-08-04,23394.000000,23413.000000,23373.000000,23394.000000,23394.000000,0
2022-08-05,23393.000000,23410.000000,23382.000000,23393.000000,23393.000000,0
